LLM可训练总参数量：25.830 百万
Epoch:[1/3](6900/9491) loss:1.930 lr:0.000000480982 epoch_Time:4.0min:
Epoch:[1/3](7000/9491) loss:1.882 lr:0.000000479068 epoch_Time:4.0min:
Epoch:[1/3](7100/9491) loss:1.853 lr:0.000000477132 epoch_Time:3.0min:
Epoch:[1/3](7200/9491) loss:1.864 lr:0.000000475175 epoch_Time:3.0min:
Epoch:[1/3](7300/9491) loss:1.826 lr:0.000000473196 epoch_Time:3.0min:
Epoch:[1/3](7400/9491) loss:1.957 lr:0.000000471197 epoch_Time:3.0min:
Epoch:[1/3](7500/9491) loss:1.877 lr:0.000000469176 epoch_Time:3.0min:
Epoch:[1/3](7600/9491) loss:1.881 lr:0.000000467135 epoch_Time:3.0min:
Epoch:[1/3](7700/9491) loss:2.040 lr:0.000000465074 epoch_Time:3.0min:
Epoch:[1/3](7800/9491) loss:1.949 lr:0.000000462992 epoch_Time:3.0min:
Epoch:[1/3](7900/9491) loss:1.848 lr:0.000000460891 epoch_Time:2.0min:
Epoch:[1/3](8000/9491) loss:1.908 lr:0.000000458770 epoch_Time:2.0min:
Epoch:[1/3](8100/9491) loss:1.892 lr:0.000000456629 epoch_Time:2.0min:
Epoch:[1/3](8200/9491) loss:1.937 lr:0.000000454470 epoch_Time:2.0min:
Epoch:[1/3](8300/9491) loss:1.913 lr:0.000000452292 epoch_Time:2.0min:
Epoch:[1/3](8400/9491) loss:1.890 lr:0.000000450095 epoch_Time:2.0min:
Epoch:[1/3](8500/9491) loss:1.799 lr:0.000000447880 epoch_Time:2.0min:
Epoch:[1/3](8600/9491) loss:1.969 lr:0.000000445647 epoch_Time:2.0min:
Epoch:[1/3](8700/9491) loss:1.912 lr:0.000000443396 epoch_Time:1.0min:
Epoch:[1/3](8800/9491) loss:1.865 lr:0.000000441128 epoch_Time:1.0min:
Epoch:[1/3](8900/9491) loss:1.926 lr:0.000000438842 epoch_Time:1.0min:
Epoch:[1/3](9000/9491) loss:1.915 lr:0.000000436540 epoch_Time:1.0min:
Epoch:[1/3](9100/9491) loss:1.807 lr:0.000000434221 epoch_Time:1.0min:
Epoch:[1/3](9200/9491) loss:1.893 lr:0.000000431886 epoch_Time:1.0min:
Epoch:[1/3](9300/9491) loss:1.902 lr:0.000000429535 epoch_Time:1.0min:
Epoch:[1/3](9400/9491) loss:1.757 lr:0.000000427168 epoch_Time:0.0min:
Epoch:[2/3](0/9491) loss:1.978 lr:0.000000425000 epoch_Time:52.0min:
Epoch:[2/3](100/9491) loss:1.859 lr:0.000000422604 epoch_Time:12.0min:
Epoch:[2/3](200/9491) loss:1.824 lr:0.000000420192 epoch_Time:12.0min:
Epoch:[2/3](300/9491) loss:1.927 lr:0.000000417766 epoch_Time:12.0min:
Epoch:[2/3](400/9491) loss:1.765 lr:0.000000415326 epoch_Time:12.0min:
Epoch:[2/3](500/9491) loss:1.933 lr:0.000000412872 epoch_Time:12.0min:
Epoch:[2/3](600/9491) loss:1.845 lr:0.000000410404 epoch_Time:12.0min:
Epoch:[2/3](700/9491) loss:1.937 lr:0.000000407922 epoch_Time:12.0min:
Epoch:[2/3](800/9491) loss:1.886 lr:0.000000405427 epoch_Time:11.0min:
Epoch:[2/3](900/9491) loss:1.848 lr:0.000000402920 epoch_Time:11.0min:
Epoch:[2/3](1000/9491) loss:1.925 lr:0.000000400400 epoch_Time:11.0min:
Epoch:[2/3](1100/9491) loss:1.820 lr:0.000000397868 epoch_Time:11.0min:
Epoch:[2/3](1200/9491) loss:1.722 lr:0.000000395324 epoch_Time:11.0min:
Epoch:[2/3](1300/9491) loss:1.923 lr:0.000000392768 epoch_Time:11.0min:
Epoch:[2/3](1400/9491) loss:1.903 lr:0.000000390201 epoch_Time:11.0min:
Epoch:[2/3](1500/9491) loss:1.794 lr:0.000000387623 epoch_Time:11.0min:
Epoch:[2/3](1600/9491) loss:2.003 lr:0.000000385034 epoch_Time:10.0min:
Epoch:[2/3](1700/9491) loss:1.855 lr:0.000000382435 epoch_Time:10.0min:
Epoch:[2/3](1800/9491) loss:2.025 lr:0.000000379826 epoch_Time:10.0min:
Epoch:[2/3](1900/9491) loss:1.959 lr:0.000000377207 epoch_Time:10.0min:
Epoch:[2/3](2000/9491) loss:1.820 lr:0.000000374579 epoch_Time:10.0min:
Epoch:[2/3](2100/9491) loss:2.036 lr:0.000000371942 epoch_Time:10.0min:
Epoch:[2/3](2200/9491) loss:1.989 lr:0.000000369295 epoch_Time:10.0min:
Epoch:[2/3](2300/9491) loss:1.835 lr:0.000000366641 epoch_Time:9.0min:
Epoch:[2/3](2400/9491) loss:1.741 lr:0.000000363978 epoch_Time:9.0min:
Epoch:[2/3](2500/9491) loss:1.946 lr:0.000000361308 epoch_Time:9.0min:
Epoch:[2/3](2600/9491) loss:1.882 lr:0.000000358630 epoch_Time:9.0min:
Epoch:[2/3](2700/9491) loss:1.975 lr:0.000000355945 epoch_Time:9.0min:
Epoch:[2/3](2800/9491) loss:1.731 lr:0.000000353253 epoch_Time:9.0min:
Epoch:[2/3](2900/9491) loss:1.706 lr:0.000000350555 epoch_Time:9.0min:
Epoch:[2/3](3000/9491) loss:1.835 lr:0.000000347851 epoch_Time:9.0min:
Epoch:[2/3](3100/9491) loss:1.822 lr:0.000000345140 epoch_Time:8.0min:
Epoch:[2/3](3200/9491) loss:1.791 lr:0.000000342425 epoch_Time:8.0min:
Epoch:[2/3](3300/9491) loss:2.048 lr:0.000000339704 epoch_Time:8.0min:
Epoch:[2/3](3400/9491) loss:2.038 lr:0.000000336978 epoch_Time:8.0min:
